"";"x"
"995";2741,818
"996";2742,135
"997";2742,481
"998";2742,783
"999";2743,143
"1000";2743,446
"1001";2743,805
"1002";2744,136
"1003";2744,467
"1004";2744,756
"1005";2745,129
"1006";2745,46
"1007";2745,791
"1008";2746,108
"1009";2746,441
"1010";2746,769
"1011";2747,098
"1012";2747,426
"1013";2747,755
"1014";2748,056
"1015";2748,384
"1016";2748,699
"1017";2749,041
"1018";2749,37
"1019";2749,698
"1020";2749,998
"1021";2750,355
"1022";2750,669
"1023";2750,999
"1024";2751,572
"1025";2751,97
"1026";2752,313
"1027";2752,641
"1028";2752,984
"1029";2753,315
"1030";2753,648
"1031";2753,951
"1032";2754,282
"1033";2754,581
"1034";2754,944
"1035";2755,201
"1036";2755,607
"1037";2755,938
"1038";2756,284
"1039";2756,601
"1040";2756,946
"1041";2757,249
"1042";2757,608
"1043";2757,898
"1044";2758,257
"1045";2758,574
"1046";2758,905
"1047";2759,223
"1048";2759,554
"1049";2759,811
"1050";2760,187
"1051";2760,5
"1052";2760,837
"1053";2761,135
"1054";2761,5
"1055";2762,032
"1056";2762,608
"1057";2764,136
"1058";2764,936
"1059";2766,123
"1060";2766,454
"1061";2766,799
"1062";2767,116
"1063";2767,46
"1064";2767,777
"1065";2768,108
"1066";2768,439
"1067";2768,783
"1068";2769,086
"1069";2769,445
"1070";2769,735
"1071";2770,096
"1072";2770,399
"1073";2770,744
"1074";2771,061
"1075";2771,406
"1076";2771,695
"1077";2772,054
"1078";2772,385
"1079";2772,716
"1080";2773,019
"1081";2773,378
"1082";2773,696
"1083";2774,042
"1084";2774,359
"1085";2774,704
"1086";2775,035
"1087";2775,38
"1088";2775,697
"1089";2776,042
"1090";2776,36
"1091";2776,705
"1092";2777,04
"1093";2777,388
"1094";2777,719
"1095";2778,05
"1096";2778,367
"1097";2778,713
"1098";2779,015
"1099";2779,374
"1100";2779,692
"1101";2780,023
"1102";2780,312
"1103";2780,671
"1104";2780,988
"1105";2781,333
"1106";2781,65
"1107";2781,996
"1108";2782,327
"1109";2782,672
"1110";2783,003
"1111";2783,348
"1112";2783,665
"1113";2783,997
"1114";2784,343
"1115";2784,691
"1116";2785,008
"1117";2785,367
"1118";2785,698
"1119";2786,029
"1120";2786,364
"1121";2786,696
"1122";2787,027
"1123";2787,372
"1124";2787,689
"1125";2788,02
"1126";2788,337
"1127";2788,682
"1128";2788,985
"1129";2789,344
"1130";2789,647
"1131";2790,02
"1132";2790,309
"1133";2790,682
"1134";2791,013
"1135";2791,344
"1136";2791,663
"1137";2792,022
"1138";2792,339
"1139";2792,699
"1140";2793,03
"1141";2793,361
"1142";2793,664
"1143";2794,023
"1144";2794,354
"1145";2794,685
"1146";2795,003
"1147";2795,348
"1148";2795,68
"1149";2796,011
"1150";2796,341
"1151";2796,672
"1152";2797,003
"1153";2797,334
"1154";2797,623
"1155";2797,982
"1156";2798,299
"1157";2798,644
"1158";2798,967
"1159";2799,312
"1160";2799,629
"1161";2799,974
"1162";2800,29
"1163";2800,635
"1164";2800,966
"1165";2801,311
"1166";2801,642
"1167";2801,973
"1168";2802,304
"1169";2802,635
"1170";2802,952
"1171";2803,311
"1172";2803,642
"1173";2803,987
"1174";2804,303
"1175";2804,662
"1176";2804,965
"1177";2805,339
"1178";2805,67
"1179";2806,008
"1180";2806,339
"1181";2806,684
"1182";2806,987
"1183";2807,332
"1184";2807,966
"1185";2808,265
"1186";2808,61
"1187";2808,945
"1188";2809,276
"1189";2809,607
"1190";2809,937
"1191";2810,283
"1192";2810,613
"1193";2810,93
"1194";2811,275
"1195";2811,606
"1196";2811,951
"1197";2812,268
"1198";2812,613
"1199";2812,916
"1200";2813,262
"1201";2813,579
"1202";2813,91
"1203";2814,213
"1204";2814,572
"1205";2814,889
"1206";2815,234
"1207";2815,551
"1208";2815,897
"1209";2816,2
"1210";2816,545
"1211";2816,862
"1212";2817,206
"1213";2817,537
"1214";2817,882
"1215";2818,171
"1216";2818,53
"1217";2818,86
"1218";2819,205
"1219";2819,522
"1220";2819,853
"1221";2820,156
"1222";2820,517
"1223";2820,806
"1224";2821,165
"1225";2821,524
"1226";2821,841
"1227";2822,172
"1228";2822,516
"1229";2822,833
"1230";2823,178
"1231";2823,481
"1232";2823,84
"1233";2824,157
"1234";2824,506
"1235";2824,837
"1236";2825,182
"1237";2825,499
"1238";2825,844
"1239";2826,161
"1240";2826,507
"1241";2826,81
"1242";2827,169
"1243";2827,486
"1244";2827,833
"1245";2828,164
"1246";2828,509
"1247";2828,841
"1248";2829,186
"1249";2829,502
"1250";2829,848
"1251";2830,164
"1252";2830,509
"1253";2830,84
"1254";2831,185
"1255";2831,502
"1256";2831,833
"1257";2832,136
"1258";2832,509
"1259";2832,826
"1260";2833,171
"1261";2833,488
"1262";2833,833
"1263";2834,168
"1264";2834,515
"1265";2834,847
"1266";2835,192
"1267";2835,523
"1268";2835,854
"1269";2836,171
"1270";2836,516
"1271";2836,849
"1272";2837,208
"1273";2837,539
"1274";2837,916
"1275";2838,229
"1276";2838,606
"1277";2838,965
"1278";2839,366
"1279";2839,772
"1280";2840,373
"1281";2840,722
"1282";2841,067
"1283";2841,469
"1284";2841,902
"1285";2842,234
"1286";2842,724
"1287";2843,298
"1288";2843,628
"1289";2844,192
"1290";2844,509
"1291";2844,91
"1292";2845,302
"1293";2845,717
"1294";2846,28
"1295";2846,868
"1296";2847,573
"1297";2847,848
"1298";2848,207
"1299";2848,497
