"";"Time";"exp";"insp";"idx"
"342";3233,444;0;1;57187
"1508";3235,058;1;0;57299
"343";3236,644;0;1;57409
"1509";3238,272;1;0;57522
"344";3239,757;0;1;57625
"1510";3242,021;1;0;57782
"345";3244,426;0;1;57949
"1511";3246,779;1;0;58112
"346";3248,649;0;1;58242
"1512";3250,811;1;0;58336
"347";3252,673;0;1;58465
"1513";3254,387;1;0;58584
"348";3255,959;0;1;58693
"1514";3257,511;1;0;58801
"349";3259,083;0;1;58910
"1515";3260,263;1;0;58992
"350";3261,506;0;1;59078
"1516";3262,977;1;0;59180
"351";3264,372;0;1;59277
"1517";3265,683;1;0;59368
"352";3267,023;0;1;59461
"1518";3268,527;1;0;59565
"353";3269,963;0;1;59665
"1519";3271,204;1;0;59751
"354";3272,613;0;1;59849
"1520";3274,331;1;0;59968
"355";3275,948;0;1;60080
"1521";3277,389;1;0;60180
"356";3278,756;0;1;60275
"1522";3279,922;1;0;60356
"357";3281,536;0;1;60468
"1523";3283,552;1;0;60608
"358";3284,835;0;1;60697
"1524";3286,082;1;0;60783
"359";3287,331;0;1;60870
"1525";3288,482;1;0;60950
"360";3289,837;0;1;61044
"1526";3291,076;1;0;61130
"361";3291,579;0;1;61165
"1527";3292,903;1;0;61257
"362";3294,171;0;1;61345
"1528";3295,943;1;0;61468
"363";3298,048;0;1;61614
"1529";3299,442;1;0;61711
"364";3300,896;0;1;61812
"1530";3302,308;1;0;61910
"365";3303,701;0;1;62007
"1531";3304,797;1;0;62083
"366";3306,038;0;1;62169
"1532";3307,334;1;0;62259
"367";3308,512;0;1;62341
"1533";3309,892;1;0;62437
"368";3311,275;0;1;62533
"1534";3312,458;1;0;62615
"369";3313,711;0;1;62702
"1535";3314,877;1;0;62783
"370";3315,955;0;1;62858
"1536";3317,265;1;0;62949
"371";3318,491;0;1;63034
"1537";3319,658;1;0;63115
"372";3320,651;0;1;63184
"1538";3322,031;1;0;63280
"373";3323,327;0;1;63370
"1539";3324,465;1;0;63449
"374";3325,746;0;1;63538
"1540";3327,088;1;0;63631
"375";3328,329;0;1;63717
"1541";3329,583;1;0;63804
"376";3330,762;0;1;63886
"1542";3331,998;1;0;63972
"377";3333,384;0;1;64068
"1543";3334,62;1;0;64154
"378";3335,743;0;1;64232
"1544";3336,77;1;0;64303
"379";3337,731;0;1;64370
"1545";3338,786;1;0;64443
"380";3339,737;0;1;64509
"1546";3340,719;1;0;64577
"381";3342,011;0;1;64667
"1547";3343,355;1;0;64760
"382";3344,232;0;1;64821
"1548";3346,303;1;0;64965
"383";3347,718;0;1;65063
"1549";3348,947;1;0;65148
"384";3350,879;0;1;65273
"1550";3351,639;1;0;65326
"385";3353,009;0;1;65421
"1551";3354,481;1;0;65523
"386";3356,324;0;1;65651
"1552";3357,706;1;0;65747
"387";3359,437;0;1;65867
"1553";3360,845;1;0;65965
"388";3362,258;0;1;66063
"1554";3363,472;1;0;66147
"389";3364,522;0;1;66220
"1555";3366,136;1;0;66332
"390";3366,626;0;1;66366
"1556";3368,642;1;0;66506
"391";3371,052;0;1;66673
"1557";3371,887;1;0;66731
"392";3372,782;0;1;66793
"1558";3373,901;1;0;66871
"393";3374,55;0;1;66916
"1559";3375,399;1;0;66975
"394";3376,597;0;1;67058
"1560";3377,522;1;0;67122
"395";3378,427;0;1;67185
"1561";3379,393;1;0;67252
"396";3380,518;0;1;67330
"1562";3381,381;1;0;67390
"397";3382,347;0;1;67457
"1563";3383,196;1;0;67516
"398";3383,991;0;1;67571
"1564";3384,178;1;0;67584
"399";3385,33;0;1;67664
"1565";3385,751;1;0;67693
"1566";3387,146;1;0;67790
"400";3388,139;0;1;67859
"1567";3390,016;1;0;67989
"401";3391,198;0;1;68071
"1568";3391,902;1;0;68120
"402";3392,41;0;1;68153
"1569";3393,375;1;0;68220
"403";3394,064;0;1;68268
"1570";3395,173;1;0;68345
"404";3396,441;0;1;68433
"1571";3397,564;1;0;68511
"405";3398,386;0;1;68568
"1572";3399,146;1;0;68621
"406";3399,898;0;1;68673
"1573";3400,603;1;0;68722
"407";3401,47;0;1;68782
"1574";3402,305;1;0;68840
"408";3402,981;0;1;68887
"1575";3403,671;1;0;68935
"409";3404,548;0;1;68996
"1576";3405,415;1;0;69056
"410";3406,15;0;1;69107
"1577";3406,845;1;0;69155
"411";3407,708;0;1;69215
"1578";3408,501;1;0;69270
"412";3409,149;0;1;69315
"1579";3410,027;1;0;69376
"413";3410,891;0;1;69436
"1580";3411,614;1;0;69486
"414";3412,463;0;1;69545
"1581";3413,184;1;0;69595
"415";3413,935;0;1;69647
"1582";3414,914;1;0;69715
"416";3415,618;0;1;69764
"1583";3416,238;1;0;69807
"417";3417,087;0;1;69866
"1584";3417,909;1;0;69923
"418";3418,673;0;1;69976
"1585";3419,434;1;0;70029
"419";3420,316;0;1;70090
"1586";3421,022;1;0;70139
"420";3421,843;0;1;70196
"1587";3422,58;1;0;70247
"421";3423,285;0;1;70296
"1588";3424,121;1;0;70354
"422";3425,025;0;1;70417
"1589";3425,86;1;0;70475
"423";3426,526;0;1;70521
"1590";3427,233;1;0;70570
"424";3428,109;0;1;70631
"1591";3428,831;1;0;70681
"425";3429,639;0;1;70737
"1592";3430,445;1;0;70793
"426";3431,266;0;1;70850
"1593";3432,129;1;0;70910
"427";3432,86;0;1;70961
"1594";3433,569;1;0;71010
"428";3434,377;0;1;71066
"1595";3435,254;1;0;71127
"429";3436,046;0;1;71182
"1596";3436,792;1;0;71234
"430";3437,584;0;1;71289
"1597";3438,335;1;0;71341
"431";3439,211;0;1;71402
"1598";3439,916;1;0;71451
"432";3440,694;0;1;71505
"1599";3441,59;1;0;71567
"433";3442,268;0;1;71614
"1600";3443,061;1;0;71669
"434";3443,853;0;1;71724
"1601";3444,729;1;0;71785
"435";3445,489;0;1;71838
"1602";3446,197;1;0;71887
"436";3447,017;0;1;71944
"1603";3447,776;1;0;71997
"437";3448,628;0;1;72056
"1604";3449,279;1;0;72101
"438";3450,169;0;1;72163
"1605";3450,919;1;0;72215
"439";3451,725;0;1;72271
"1606";3452,546;1;0;72328
"440";3453,32;0;1;72382
"1607";3454,014;1;0;72430
"441";3454,89;0;1;72491
"1608";3455,622;1;0;72542
"442";3456,463;0;1;72600
"1609";3457,223;1;0;72653
"443";3458,015;0;1;72708
"1610";3458,751;1;0;72759
"444";3459,627;0;1;72820
"1611";3460,405;1;0;72874
"445";3461,212;0;1;72930
"1612";3462,013;1;0;72986
"446";3462,764;0;1;73038
"1613";3463,602;1;0;73096
"447";3464,408;0;1;73152
"1614";3465,144;1;0;73203
"448";3465,891;0;1;73255
"1615";3466,697;1;0;73311
"449";3467,504;0;1;73367
